file_name,alloy,card,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ti,Zr,Sc,Other,YS (MPa),UTS (MPa),Uniform EL (percentage),Fracture EL (percentage),YPE (percentage),Casting,Ingot thickness,Homogenization (Celsius/Minutes),Hot rolling reduction (percentage),Cold rolling reduction (percentage),Recrystallization annealing (Celsius/Minutes),Mean grain size (µm),Secondary phase particle size and density,Crystallographic texture,,,,,,
AA5xxx Card - 001A.docx,AA5xxx,001A,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,110,225,,20,1.2,DC,635,540°C > 5 hours,99.6,55,"Batch annealing, 350°C 2 hours",14.4,N/A,3.69,,,,,,
AA5xxx Card - 001B.docx,AA5xxx,001B,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,110,235,,20,1.1,DC,635,540°C > 5 hours,99.6,55,"Batch annealing, 350°C 2 hours",12.1,N/A,0.83,,,,,,
AA5xxx Card - 001C.docx,AA5xxx,001C,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,105,230,,20,1.4,DC,635,540°C > 5 hours,99.6,55,"Batch annealing, 350°C 2 hours",14.4,N/A,4.98,,,,,,
AA5xxx Card - 001D.docx,AA5xxx,001D,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,100,224,,19.5,1.2,DC,635,540°C > 5 hours,99.6,55,"Batch annealing, 350°C 2 hours",12.9,N/A,4.39,,,,,,
AA5xxx Card - 001E.docx,AA5xxx,001E,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,95,220,,20.5,0.9,DC,635,540°C > 5 hours,99.6,55,"Batch annealing, 350°C 2 hours",18.7,N/A,4.72,,,,,, 
AA5xxx Card - 001F.docx,AA5xxx,001F,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,102,226,,20.5,1,DC,635,540°C > 5 hours,99.6,55,"Batch annealing, 350°C 2 hours",12.3,N/A,3.81,,,,,,
AA5xxx Card - 001G.docx,AA5xxx,001G,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,95,220,,20,0.9,DC,635,540°C > 5 hours,99.6,55,"Batch annealing, 350°C 2 hours",16.3,N/A,3.39,,,,,,
AA5xxx Card - 002A.docx,AA5xxx,002A,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,225.5,276.4,9.3,9.3,0,DC,635,540°C > 5 hours,99.6,86,"Flash annealing, 250°C 1 hour",2,N/A,N/A,,,,,,
AA5xxx Card - 002B.docx,AA5xxx,002B,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,121.6,231,15.1,17.3,1,DC,635,540°C > 5 hours,99.6,86,"Flash annealing, 275°C 1 hour",6.5,N/A,N/A,,,,,,
AA5xxx Card - 002C.docx,AA5xxx,002C,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,117.7,227.7,17.2,18.8,2,DC,635,540°C > 5 hours,99.6,86,"Flash annealing, 300°C 1 hour",7.3,N/A,N/A,,,,,,
AA5xxx Card - 002D.docx,AA5xxx,002D,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,115.8,229.5,21,22.8,2,DC,635,540°C > 5 hours,99.6,86,"Flash annealing, 350°C 1 hour",8.2,N/A,N/A,,,,,,
AA5xxx Card - 002E.docx,AA5xxx,002E,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,219.4,264.9,14.2,14.3,0,DC,635,540°C > 5 hours,99.6,96,"Flash annealing, 250°C 1 hour",2,N/A,N/A,,,,,,
AA5xxx Card - 002F.docx,AA5xxx,002F,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,119.7,224.8,17.3,18.3,2,DC,635,540°C > 5 hours,99.6,96,"Flash annealing, 300°C 1 hour",7.2,N/A,N/A,,,,,,
AA5xxx Card - 002G.docx,AA5xxx,002G,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,114.5,224.7,21.1,21.1,2,DC,635,540°C > 5 hours,99.6,96,"Flash annealing, 350°C 1 hour",7.8,N/A,N/A,,,,,,
AA5xxx Card - 003A.docx,AA5xxx,003A,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,96.18,222.72,24.17,27.52,0.5,DC,635,540°C > 5 hours,99.2,50,"Batch annealing, 350°C 2 hours",27.4,N/A,5,,,,,,
AA5xxx Card - 003B.docx,AA5xxx,003B,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,88.57,220.73,19.16,23.13,0.8,DC,635,540°C > 5 hours,99.2,0,"direct hot rolled to gauge, exit temperature ~ 340°C.",26.6,N/A,17,,,,,,
AA5xxx Card - 003C.docx,AA5xxx,003C,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,98.8,223.8,20.4,24.2,1,DC,635,540°C > 5 hours,99.2,47,"Batch annealing, 350°C 2 hours",17.3,N/A,3.7,,,,,,
AA5xxx Card - 003D.docx,AA5xxx,003D,1.00E-08,0.06,0.19,1.00E-08,0.26,3.08,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,101.45,220.67,20,23,1.5,DC,635,540°C > 5 hours,99.2,54,"Batch annealing, 350°C 2 hours",19.2,N/A,3.8,,,,,,
AA5xxx Card - 004A.docx,AA5xxx,004A,1.00E-08,0.1,0.2,1.00E-08,0.7,4.4,0.15,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,165,311.1,,20.5,,DC,635,525°C > 5 hours,99.4,75,400°C 1 hour,4.9,N/A,,,,,,,
AA5xxx Card - 004B.docx,AA5xxx,004B,1.00E-08,0.1,0.2,1.00E-08,0.7,4.4,0.15,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,159.6,306.5,,22.9,,DC,635,525°C > 5 hours,99.4,75,450°C 1 hour,5.4,N/A,,,,,,,
AA5xxx Card - 004C.docx,AA5xxx,004C,1.00E-08,0.1,0.2,1.00E-08,0.7,4.4,0.15,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,153.1,306.6,,24.6,,DC,635,525°C > 5 hours,99.4,75,500°C 1 hour,6.5,N/A,,,,,,,
AA5xxx Card - 004D.docx,AA5xxx,004D,1.00E-08,0.1,0.2,1.00E-08,0.7,4.4,0.15,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,131.8,286.3,,23.5,,DC,635,525°C > 5 hours,99.4,75,550°C 1 hour,11.1,N/A,,,,,,,
AA5xxx Card - 005A.docx,AA5xxx,005A,1.00E-08,0.1,0.2,1.00E-08,0.1,2,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,70,160,,18,1.5,DC,635,525°C > 5 hours,99.4,75,"batch annealing, 350°C 2 hours",50,N/A,,,,,,,
AA5xxx Card - 005B.docx,AA5xxx,005B,1.00E-08,0.1,0.2,1.00E-08,0.1,3,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,90,195,,21,2,DC,635,525°C > 5 hours,99,75,"batch annealing, 350°C 2 hours",20.8,N/A,,,,,,,
AA5xxx Card - 005C.docx,AA5xxx,005C,1.00E-08,0.1,0.2,1.00E-08,0.1,4,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,110,230,,22.5,2.5,DC,635,525°C > 5 hours,99,75,"batch annealing, 350°C 2 hours",10.5,N/A,,,,,,,
AA5xxx Card - 005D.docx,AA5xxx,005D,1.00E-08,0.1,0.2,1.00E-08,0.1,5,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,130,270,,24,2,DC,635,525°C > 5 hours,99,75,"batch annealing, 350°C 2 hours",17,N/A,,,,,,,
AA5xxx Card - 005E.docx,AA5xxx,005E,1.00E-08,0.1,0.2,1.00E-08,0.1,6,1.00E-08,1.00E-08,1.00E-08,0.005,1.00E-08,1.00E-08,1.00E-08,135,280,,26,2,DC,635,525°C > 5 hours,99,75,"batch annealing, 350°C 2 hours",22,N/A,,,,,,,
