file_name,alloy,card,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ti,Zr,Sc,Other,YS (MPa),UTS (MPa),Uniform EL (percentage),Fracture EL (percentage),YPE (percentage),Casting,Ingot thickness (mm),Homogenization (Celsius/Seconds),homog_steps,homog_time_total_s,homog_temp_max_C,homog_T_time_weighted_C,homog_time_at_ge_520C_s,adequate_homog,Hot rolling reduction (percentage),Cold rolling reduction (percentage),Recrystallization annealing (Celsius/Seconds),recryst_type,recryst_steps,recryst_time_total_s,recryst_temp_max_C,recryst_T_time_weighted_C,adequate_recryst,adequate_recryst_batch,adequate_recryst_flash,Mean grain size (µm),Secondary phase particle size and density,Crystallographic texture,flag_missing_YS,flag_missing_UTS,flag_missing_FractureEL,flag_missing_UniformEL,flag_missing_YPE,Homogenization_RAW,Recrystallization annealing_RAW,comp_sum_before,comp_fix_applied,comp_sum_after,Al_RAW,Si_RAW,Fe_RAW,Cu_RAW,Mn_RAW,Mg_RAW,Cr_RAW,Ni_RAW,Zn_RAW,Ti_RAW,Zr_RAW,Sc_RAW,Other_RAW
AA5xxx Card - 001A.docx,AA5xxx,001A,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,110.0,225.0,,20.0,1.2,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,55.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,14.4,,3.69,0,0,0,1,0,540°C > 5 hours,"Batch annealing, 350°C 2 hours",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 001B.docx,AA5xxx,001B,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,110.0,235.0,,20.0,1.1,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,55.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,12.1,,0.83,0,0,0,1,0,540°C > 5 hours,"Batch annealing, 350°C 2 hours",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 001C.docx,AA5xxx,001C,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,105.0,230.0,,20.0,1.4,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,55.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,14.4,,4.98,0,0,0,1,0,540°C > 5 hours,"Batch annealing, 350°C 2 hours",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 001D.docx,AA5xxx,001D,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,100.0,224.0,,19.5,1.2,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,55.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,12.9,,4.39,0,0,0,1,0,540°C > 5 hours,"Batch annealing, 350°C 2 hours",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 001E.docx,AA5xxx,001E,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,95.0,220.0,,20.5,0.9,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,55.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,18.7,,4.72,0,0,0,1,0,540°C > 5 hours,"Batch annealing, 350°C 2 hours",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 001F.docx,AA5xxx,001F,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,102.0,226.0,,20.5,1.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,55.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,12.3,,3.81,0,0,0,1,0,540°C > 5 hours,"Batch annealing, 350°C 2 hours",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 001G.docx,AA5xxx,001G,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,95.0,220.0,,20.0,0.9,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,55.0,350/7200,batch,1,7200,350.0,350.0,1,1,0,16.3,,3.39,0,0,0,1,0,540°C > 5 hours,"Batch annealing, 350°C 2 hours",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 002A.docx,AA5xxx,002A,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,225.5,276.4,9.3,9.3,0.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,86.0,250/3600,flash,1,3600,250.0,250.0,0,0,0,2.0,,,0,0,0,0,0,540°C > 5 hours,"Flash annealing, 250°C 1 hour",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 002B.docx,AA5xxx,002B,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,121.6,231.0,15.1,17.3,1.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,86.0,275/3600,flash,1,3600,275.0,275.0,0,0,0,6.5,,,0,0,0,0,0,540°C > 5 hours,"Flash annealing, 275°C 1 hour",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
AA5xxx Card - 002C.docx,AA5xxx,002C,96.40499993,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08,117.7,227.7,17.2,18.8,2.0,DC,635.0,540/18000,1.0,18000.0,540.0,540.0,18000.0,1.0,99.6,86.0,300/3600,flash,1,3600,300.0,300.0,1,0,1,7.3,,,0,0,0,0,0,540°C > 5 hours,"Flash annealing, 300°C 1 hour",3.5950000799999997,1,100.0,1e-08,0.06,0.19,1e-08,0.26,3.08,1e-08,1e-08,1e-08,0.005,1e-08,1e-08,1e-08
