group_1,group_2,group_3,target,n_rows
AA5xxx Card - 050D.docx,AA5xxx,050D,UTS,1
AA5xxx Card - 042C.docx,AA5xxx,042C,FractureEL,1
AA5xxx Card - 042D.docx,AA5xxx,042D,FractureEL,1
AA5xxx Card - 042E.docx,AA5xxx,042E,FractureEL,1
AA5xxx Card - 045C.docx,AA5xxx,045C,FractureEL,1
AA5xxx Card - 001A.docx,AA5xxx,001A,UniformEL,1
AA5xxx Card - 001B.docx,AA5xxx,001B,UniformEL,1
AA5xxx Card - 001C.docx,AA5xxx,001C,UniformEL,1
AA5xxx Card - 001D.docx,AA5xxx,001D,UniformEL,1
AA5xxx Card - 001E.docx,AA5xxx,001E,UniformEL,1
AA5xxx Card - 001F.docx,AA5xxx,001F,UniformEL,1
AA5xxx Card - 001G.docx,AA5xxx,001G,UniformEL,1
AA5xxx Card - 004A.docx,AA5xxx,004A,UniformEL,1
AA5xxx Card - 004B.docx,AA5xxx,004B,UniformEL,1
AA5xxx Card - 004C.docx,AA5xxx,004C,UniformEL,1
AA5xxx Card - 004D.docx,AA5xxx,004D,UniformEL,1
AA5xxx Card - 005A.docx,AA5xxx,005A,UniformEL,1
AA5xxx Card - 005B.docx,AA5xxx,005B,UniformEL,1
AA5xxx Card - 005C.docx,AA5xxx,005C,UniformEL,1
AA5xxx Card - 005D.docx,AA5xxx,005D,UniformEL,1
AA5xxx Card - 005E.docx,AA5xxx,005E,UniformEL,1
AA5xxx Card - 006A.docx,AA5xxx,006A,UniformEL,1
AA5xxx Card - 006B.docx,AA5xxx,006B,UniformEL,1
AA5xxx Card - 006C.docx,AA5xxx,006C,UniformEL,1
AA5xxx Card - 006D.docx,AA5xxx,006D,UniformEL,1
AA5xxx Card - 006E.docx,AA5xxx,006E,UniformEL,1
AA5xxx Card - 006F.docx,AA5xxx,006F,UniformEL,1
AA5xxx Card - 007A.docx,AA5xxx,007A,UniformEL,1
AA5xxx Card - 007B.docx,AA5xxx,007B,UniformEL,1
AA5xxx Card - 007C.docx,AA5xxx,007C,UniformEL,1
AA5xxx Card - 007D.docx,AA5xxx,007D,UniformEL,1
AA5xxx Card - 007E.docx,AA5xxx,007E,UniformEL,1
AA5xxx Card - 008A.docx,AA5xxx,008A,UniformEL,1
AA5xxx Card - 008B.docx,AA5xxx,008B,UniformEL,1
AA5xxx Card - 008C.docx,AA5xxx,008C,UniformEL,1
AA5xxx Card - 008D.docx,AA5xxx,008D,UniformEL,1
